@id,@type,@lat,@lon,name,voltage,operator,substation
655287791,way,34.1139151,-118.1894541,Distributing Station 2,34500;4800,Los Angeles Department of Water and Power,distribution
655440407,way,33.7495291,-118.2793900,Distributing Station 3,34500;4800,Los Angeles Department of Water and Power,distribution
655450950,way,34.0867042,-118.2145252,Distributing Station 36,34500;4800,Los Angeles Department of Water and Power,distribution
655482902,way,33.9312451,-118.3762291,DISTRIBUTING STATION 47,34500;4800,Los Angeles Department of Water and Power,distribution
655483684,way,34.0830925,-118.1783651,DISTRIBUTING STATION 50,34500;4800,Los Angeles Department of Water and Power,distribution
655484265,way,33.7780939,-118.2658275,DISTRIBUTING STATION 51,34500;4800,Los Angeles Department of Water and Power,distribution
655486159,way,34.0693021,-118.3465832,Distributing Station 55,34500;4800,Los Angeles Department of Water and Power,distribution
655487219,way,34.0638170,-118.2999966,Distributing Station 61,34500;4800,Los Angeles Department of Water and Power,distribution
655487442,way,34.2060356,-118.4228177,DISTRIBUTING STATION 62,34500;4800,Los Angeles Department of Water and Power,distribution
655488279,way,34.2567431,-118.5287650,DISTRIBUTING STATION 68,34500;4800,Los Angeles Department of Water and Power,distribution
655488317,way,34.2640700,-118.4592090,LADWP Distributing Station No. 69,34500;4800,Los Angeles Department of Water and Power,distribution
655488562,way,34.1579784,-118.4396700,DISTRIBUTING STATION 73,34500;4800,Los Angeles Department of Water and Power,distribution
655514990,way,33.9585397,-118.4337207,Distributing Station 137,34500;4800,Los Angeles Department of Water and Power,distribution
655516229,way,34.2362502,-118.5011257,LADWP Distributing Station No. 131,34500;4800,Los Angeles Department of Water and Power,distribution
655818854,way,34.0800096,-118.3099730,DISTRIBUTING STATION 87,34500;4800,Los Angeles Department of Water and Power,distribution
655818899,way,33.7276321,-118.2929906,DISTRIBUTING STATION 89,34500;4800,Los Angeles Department of Water and Power,distribution
655821595,way,34.1206811,-118.2262082,Distributing Station 93,34500;4800,Los Angeles Department of Water and Power,distribution
655822102,way,33.7401095,-118.2687590,DISTRIBUTING STATION 121,34500;4800,Los Angeles Department of Water and Power,distribution
655825776,way,34.1942035,-118.3886230,DISTRIBUTING STATION 100,34500;4800,Los Angeles Department of Water and Power,distribution
655826291,way,34.2627952,-118.4272864,LADWP Distributing Station No. 101,34500;4800,Los Angeles Department of Water and Power,distribution
